2024/07/08 18:39:44 [warn] 273#273: *2772 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/3/50/0000000503 while reading upstream, client: 197.210.28.78, server: frontend.myrobert.tech, request: "GET /node_modules/.vite/deps/@chakra-ui_react.js?v=3033ffc1 HTTP/1.1", upstream: "http://172.18.0.6:5173/node_modules/.vite/deps/@chakra-ui_react.js?v=3033ffc1", host: "frontend.myrobert.tech", referrer: "http://frontend.myrobert.tech/src/main.tsx"
2024/07/08 18:39:45 [warn] 273#273: *2766 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/4/50/0000000504 while reading upstream, client: 197.210.28.78, server: frontend.myrobert.tech, request: "GET /node_modules/.vite/deps/chunk-QVJRRYHF.js?v=f61ff03b HTTP/1.1", upstream: "http://172.18.0.6:5173/node_modules/.vite/deps/chunk-QVJRRYHF.js?v=f61ff03b", host: "frontend.myrobert.tech", referrer: "http://frontend.myrobert.tech/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=55905f64"
2024/07/08 18:39:45 [warn] 273#273: *2774 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/5/50/0000000505 while reading upstream, client: 197.210.28.78, server: frontend.myrobert.tech, request: "GET /node_modules/.vite/deps/chunk-6YVH6SSW.js?v=f61ff03b HTTP/1.1", upstream: "http://172.18.0.6:5173/node_modules/.vite/deps/chunk-6YVH6SSW.js?v=f61ff03b", host: "frontend.myrobert.tech", referrer: "http://frontend.myrobert.tech/node_modules/.vite/deps/@tanstack_react-router.js?v=ef8a64ed"
2024/07/08 18:39:45 [warn] 273#273: *2761 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/6/50/0000000506 while reading upstream, client: 197.210.28.78, server: frontend.myrobert.tech, request: "GET /node_modules/.vite/deps/chunk-WLNUW44W.js?v=f61ff03b HTTP/1.1", upstream: "http://172.18.0.6:5173/node_modules/.vite/deps/chunk-WLNUW44W.js?v=f61ff03b", host: "frontend.myrobert.tech", referrer: "http://frontend.myrobert.tech/node_modules/.vite/deps/@tanstack_react-query.js?v=25c7794d"
2024/07/08 18:39:45 [warn] 273#273: *2775 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/7/50/0000000507 while reading upstream, client: 197.210.28.78, server: frontend.myrobert.tech, request: "GET /node_modules/.vite/deps/chunk-EL3PUDHE.js?v=f61ff03b HTTP/1.1", upstream: "http://172.18.0.6:5173/node_modules/.vite/deps/chunk-EL3PUDHE.js?v=f61ff03b", host: "frontend.myrobert.tech", referrer: "http://frontend.myrobert.tech/node_modules/.vite/deps/react-dom_client.js?v=a12a0af7"
2024/07/08 18:39:48 [warn] 273#273: *2762 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/8/50/0000000508 while reading upstream, client: 197.210.28.78, server: frontend.myrobert.tech, request: "GET /node_modules/.vite/deps/chunk-Z43TZB5X.js?v=f61ff03b HTTP/1.1", upstream: "http://172.18.0.6:5173/node_modules/.vite/deps/chunk-Z43TZB5X.js?v=f61ff03b", host: "frontend.myrobert.tech", referrer: "http://frontend.myrobert.tech/node_modules/.vite/deps/@chakra-ui_react.js?v=3033ffc1"
2024/07/08 18:39:49 [warn] 273#273: *2772 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/9/50/0000000509 while reading upstream, client: 197.210.28.78, server: frontend.myrobert.tech, request: "GET /node_modules/.vite/deps/react-icons_fa.js?v=0d32ed90 HTTP/1.1", upstream: "http://172.18.0.6:5173/node_modules/.vite/deps/react-icons_fa.js?v=0d32ed90", host: "frontend.myrobert.tech", referrer: "http://frontend.myrobert.tech/src/components/Common/UserMenu.tsx"
2024/07/08 18:39:49 [warn] 273#273: *2774 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/0/51/0000000510 while reading upstream, client: 197.210.28.78, server: frontend.myrobert.tech, request: "GET /node_modules/.vite/deps/react-icons_bs.js?v=e76085e6 HTTP/1.1", upstream: "http://172.18.0.6:5173/node_modules/.vite/deps/react-icons_bs.js?v=e76085e6", host: "frontend.myrobert.tech", referrer: "http://frontend.myrobert.tech/src/components/Common/ActionsMenu.tsx"
2024/07/08 18:39:51 [warn] 273#273: *2761 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/1/51/0000000511 while reading upstream, client: 197.210.28.78, server: frontend.myrobert.tech, request: "GET /node_modules/.vite/deps/chunk-EL3PUDHE.js?v=f61ff03b HTTP/1.1", upstream: "http://172.18.0.6:5173/node_modules/.vite/deps/chunk-EL3PUDHE.js?v=f61ff03b", host: "frontend.myrobert.tech", referrer: "http://frontend.myrobert.tech/node_modules/.vite/deps/@chakra-ui_react.js?v=3033ffc1"
2024/07/08 18:39:53 [warn] 273#273: *2852 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/2/51/0000000512 while reading upstream, client: 197.210.28.78, server: frontend.myrobert.tech, request: "GET /node_modules/.vite/deps/react-icons_fa.js?v=0d32ed90 HTTP/1.1", upstream: "http://172.18.0.6:5173/node_modules/.vite/deps/react-icons_fa.js?v=0d32ed90", host: "frontend.myrobert.tech", referrer: "http://frontend.myrobert.tech/src/components/Common/UserMenu.tsx"
2024/07/08 18:39:53 [warn] 273#273: *2845 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/3/51/0000000513 while reading upstream, client: 197.210.28.78, server: frontend.myrobert.tech, request: "GET /node_modules/.vite/deps/react-icons_bs.js?v=e76085e6 HTTP/1.1", upstream: "http://172.18.0.6:5173/node_modules/.vite/deps/react-icons_bs.js?v=e76085e6", host: "frontend.myrobert.tech", referrer: "http://frontend.myrobert.tech/src/components/Common/ActionsMenu.tsx"
